Price,Close
Ticker,XDAX.MI
Date,
2026-02-04,231.0500030517578
2026-02-05,229.0500030517578
2026-02-06,231.60000610351562
2026-02-09,234.35000610351562
2026-02-10,234.10000610351562
2026-02-11,233.14999389648438
2026-02-12,232.5500030517578
2026-02-13,233.25
2026-02-16,232.39999389648438
2026-02-17,234.25
2026-02-18,236.85000610351562
2026-02-19,234.35000610351562
2026-02-20,236.5500030517578
2026-02-23,234.1999969482422
2026-02-24,234.39999389648438
2026-02-25,235.8000030517578
2026-02-26,236.75
2026-02-27,236.9499969482422
2026-03-02,230.8000030517578
2026-03-03,222.89999389648438
2026-03-04,226.75
2026-03-05,222.64999389648438
2026-03-09,219.3000030517578
2026-03-10,224.14999389648438
2026-03-11,220.9499969482422
2026-03-12,220.75
2026-03-13,219.5
2026-03-16,220.8000030517578
2026-03-17,222.1999969482422
2026-03-18,220.35000610351562
2026-03-19,214.0
2026-03-20,209.6999969482422
2026-03-23,212.35000610351562
2026-03-24,212.0
2026-03-25,214.9499969482422
2026-03-26,211.85000610351562
2026-03-27,208.9499969482422
2026-03-30,210.6999969482422
2026-03-31,212.0
2026-04-01,218.25
2026-04-02,216.64999389648438
2026-04-07,214.5500030517578
2026-04-08,225.5
2026-04-09,222.5
2026-04-10,223.35000610351562
2026-04-13,222.25
2026-04-14,225.0500030517578
2026-04-15,225.3000030517578
2026-04-16,226.10000610351562
2026-04-17,231.25
2026-04-20,228.85000610351562
2026-04-21,227.39999389648438
2026-04-22,226.60000610351562
2026-04-23,226.10000610351562
2026-04-24,225.89999389648438
2026-04-27,225.5
2026-04-28,224.6999969482422
2026-04-29,224.0500030517578
2026-04-30,227.0500030517578
