Price,Close
Ticker,SXRW.DE
Date,
2026-02-04,242.6999969482422
2026-02-05,238.5
2026-02-06,240.64999389648438
2026-02-09,240.35000610351562
2026-02-10,239.5500030517578
2026-02-11,242.60000610351562
2026-02-12,240.75
2026-02-13,241.60000610351562
2026-02-16,242.5500030517578
2026-02-17,243.25
2026-02-18,246.89999389648438
2026-02-19,245.4499969482422
2026-02-20,247.39999389648438
2026-02-23,246.85000610351562
2026-02-24,247.60000610351562
2026-02-25,250.25
2026-02-26,251.0500030517578
2026-02-27,251.0500030517578
2026-03-02,249.0
2026-03-03,243.10000610351562
2026-03-04,244.9499969482422
2026-03-05,241.85000610351562
2026-03-09,239.3000030517578
2026-03-10,242.89999389648438
2026-03-11,242.0500030517578
2026-03-12,241.5
2026-03-13,240.10000610351562
2026-03-16,241.75
2026-03-17,243.39999389648438
2026-03-18,241.3000030517578
2026-03-19,236.0500030517578
2026-03-20,231.1999969482422
2026-03-23,232.0
2026-03-24,233.0500030517578
2026-03-25,237.0500030517578
2026-03-26,234.1999969482422
2026-03-27,233.35000610351562
2026-03-30,237.0
2026-03-31,236.75
2026-04-01,241.8000030517578
2026-04-02,243.1999969482422
2026-04-07,240.6999969482422
2026-04-08,248.0
2026-04-09,247.39999389648438
2026-04-10,247.5
2026-04-13,247.35000610351562
2026-04-14,248.35000610351562
2026-04-15,246.89999389648438
2026-04-16,247.5500030517578
2026-04-17,249.25
2026-04-20,247.60000610351562
2026-04-21,245.1999969482422
2026-04-22,245.1999969482422
2026-04-23,245.35000610351562
2026-04-24,243.75
2026-04-27,242.8000030517578
2026-04-28,242.64999389648438
2026-04-29,240.0
2026-04-30,244.5500030517578
