Price,Close
Ticker,SGAJ.DE
Date,
2026-02-04,7.5980000495910645
2026-02-05,7.488999843597412
2026-02-06,7.703000068664551
2026-02-09,7.814000129699707
2026-02-10,7.993000030517578
2026-02-11,8.053000450134277
2026-02-12,8.020999908447266
2026-02-13,8.031999588012695
2026-02-16,7.859000205993652
2026-02-17,7.888000011444092
2026-02-18,7.914000034332275
2026-02-19,7.89300012588501
2026-02-20,7.885000228881836
2026-02-23,7.895999908447266
2026-02-24,7.894999980926514
2026-02-25,7.960000038146973
2026-02-26,7.999000072479248
2026-02-27,7.985000133514404
2026-03-02,7.828000068664551
2026-03-03,7.451000213623047
2026-03-04,7.689000129699707
2026-03-05,7.539999961853027
2026-03-09,7.388000011444092
2026-03-10,7.6620001792907715
2026-03-11,7.50600004196167
2026-03-12,7.460999965667725
2026-03-13,7.439000129699707
2026-03-16,7.492000102996826
2026-03-17,7.505000114440918
2026-03-18,7.49399995803833
2026-03-19,7.333000183105469
2026-03-20,7.2179999351501465
2026-03-23,7.311999797821045
2026-03-24,7.36299991607666
2026-03-25,7.493000030517578
2026-03-26,7.379000186920166
2026-03-27,7.230999946594238
2026-03-30,7.354000091552734
2026-03-31,7.307000160217285
2026-04-01,7.64900016784668
2026-04-02,7.515999794006348
2026-04-07,7.419000148773193
2026-04-08,7.791999816894531
2026-04-09,7.664999961853027
2026-04-10,7.666999816894531
2026-04-13,7.617000102996826
2026-04-14,7.730999946594238
2026-04-15,7.7230000495910645
2026-04-16,7.77400016784668
2026-04-17,7.872000217437744
2026-04-20,7.76800012588501
2026-04-21,7.646999835968018
2026-04-22,7.6620001792907715
2026-04-23,7.670000076293945
2026-04-24,7.625999927520752
2026-04-27,7.676000118255615
2026-04-28,7.678999900817871
2026-04-29,7.630000114440918
2026-04-30,7.761000156402588
