Price,Close
Ticker,SW2CHB.MI
Date,
2026-02-04,34.29499816894531
2026-02-05,34.2400016784668
2026-02-06,34.290000915527344
2026-02-09,34.470001220703125
2026-02-10,34.51499938964844
2026-02-11,34.375
2026-02-12,34.529998779296875
2026-02-13,34.71500015258789
2026-02-16,34.80500030517578
2026-02-17,35.04999923706055
2026-02-18,35.275001525878906
2026-02-19,35.150001525878906
2026-02-20,35.279998779296875
2026-02-23,35.220001220703125
2026-02-24,35.54999923706055
2026-02-25,35.564998626708984
2026-02-26,35.42499923706055
2026-02-27,35.7599983215332
2026-03-02,35.189998626708984
2026-03-03,34.31999969482422
2026-03-04,34.54999923706055
2026-03-05,34.14500045776367
2026-03-09,33.4900016784668
2026-03-10,33.78499984741211
2026-03-11,33.474998474121094
2026-03-12,33.23500061035156
2026-03-13,33.26499938964844
2026-03-16,33.28499984741211
2026-03-17,33.494998931884766
2026-03-18,32.8849983215332
2026-03-19,31.94499969482422
2026-03-20,31.68000030517578
2026-03-23,31.875
2026-03-24,31.950000762939453
2026-03-25,32.57500076293945
2026-03-26,32.32500076293945
2026-03-27,32.07500076293945
2026-03-30,32.435001373291016
2026-03-31,32.345001220703125
2026-04-01,33.084999084472656
2026-04-02,32.97999954223633
2026-04-07,32.38999938964844
2026-04-08,33.375
2026-04-09,33.41999816894531
2026-04-10,33.4900016784668
2026-04-13,33.55500030517578
2026-04-14,33.6349983215332
2026-04-15,33.720001220703125
2026-04-16,33.540000915527344
2026-04-17,34.34000015258789
2026-04-20,34.209999084472656
2026-04-21,33.88999938964844
2026-04-22,33.6150016784668
2026-04-23,34.04499816894531
2026-04-24,33.79999923706055
2026-04-27,33.72999954223633
2026-04-28,33.52000045776367
2026-04-29,33.30500030517578
2026-04-30,33.76499938964844
