Price,Close
Ticker,XMEU.MI
Date,
2026-02-04,111.77999877929688
2026-02-05,110.5999984741211
2026-02-06,111.58000183105469
2026-02-09,112.33999633789062
2026-02-10,112.41999816894531
2026-02-11,112.62000274658203
2026-02-12,111.83999633789062
2026-02-13,111.86000061035156
2026-02-16,112.05999755859375
2026-02-17,112.63999938964844
2026-02-18,114.04000091552734
2026-02-19,113.31999969482422
2026-02-20,114.30000305175781
2026-02-23,113.83999633789062
2026-02-24,114.12000274658203
2026-02-25,114.83999633789062
2026-02-26,114.77999877929688
2026-02-27,114.87999725341797
2026-03-02,113.0999984741211
2026-03-03,109.73999786376953
2026-03-04,111.26000213623047
2026-03-05,109.77999877929688
2026-03-09,108.18000030517578
2026-03-10,110.13999938964844
2026-03-11,109.5199966430664
2026-03-12,108.95999908447266
2026-03-13,108.5
2026-03-16,108.9000015258789
2026-03-17,109.55999755859375
2026-03-18,108.73999786376953
2026-03-19,106.04000091552734
2026-03-20,104.0
2026-03-23,104.77999877929688
2026-03-24,105.18000030517578
2026-03-25,106.73999786376953
2026-03-26,105.44000244140625
2026-03-27,104.54000091552734
2026-03-30,105.72000122070312
2026-03-31,106.05999755859375
2026-04-01,108.76000213623047
2026-04-02,108.55999755859375
2026-04-07,107.5
2026-04-08,111.72000122070312
2026-04-09,111.55999755859375
2026-04-10,111.91999816894531
2026-04-13,111.83999633789062
2026-04-14,112.9000015258789
2026-04-15,112.4800033569336
2026-04-16,112.4800033569336
2026-04-17,114.16000366210938
2026-04-20,113.44000244140625
2026-04-21,112.4800033569336
2026-04-22,112.0
2026-04-23,112.19999694824219
2026-04-24,111.62000274658203
2026-04-27,111.22000122070312
2026-04-28,110.76000213623047
2026-04-29,110.18000030517578
2026-04-30,111.80000305175781
